2026-09-03 23:16:06
20260904 011906.217 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260904 011906.217 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20260904 011906.217 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20260904 011906.217 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20260904 011906.218 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20260904 011906.218 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260904 011906.218 INFO             PET0 Running with ESMF Version   : develop+g4161bf9d44
20260904 011906.218 INFO             PET0 ESMF library build date/time: "Sep  3 2026" "23:12:14"
20260904 011906.218 INFO             PET0 ESMF library build location : /discover/nobackup/projects/gmao/SIteam/ESMF_Testing/llvm_22.1.0_mpich_g_develop/esmf
20260904 011906.218 INFO             PET0 ESMF_COMM                   : mpich
20260904 011906.218 INFO             PET0 ESMF_MOAB                   : enabled
20260904 011906.218 INFO             PET0 ESMF_LAPACK                 : enabled
20260904 011906.218 INFO             PET0 ESMF_NETCDF                 : disabled
20260904 011906.218 INFO             PET0 ESMF_PNETCDF                : disabled
20260904 011906.218 INFO             PET0 ESMF_PIO                    : disabled
20260904 011906.218 INFO             PET0 ESMF_YAMLCPP                : enabled
20260904 011906.218 INFO             PET0 esmApp STARTING
20260904 011906.242 INFO             PET0 esm: InitializeGeneric intro.
20260904 011906.242 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20260904 011906.242 INFO             PET0   esm: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20260904 011906.242 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20260904 011906.242 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20260904 011906.242 INFO             PET0   esm: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
20260904 011906.242 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() end -------------------
20260904 011906.242 INFO             PET0   >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260904 011906.242 INFO             PET0   esm: InitializeP0 intro.
20260904 011906.242 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() start -----------------
20260904 011906.242 INFO             PET0     esm: InitializeP0 intro {IS}:State object is invalid! Not created or deleted!
20260904 011906.242 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() end -------------------
20260904 011906.242 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() start -----------------
20260904 011906.242 INFO             PET0     esm: InitializeP0 intro {ES}:State object is invalid! Not created or deleted!
20260904 011906.242 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() end -------------------
20260904 011906.242 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260904 011906.242 INFO             PET0     <<<esm: leaving Initialize (phase=<none>) without valid internal Clock.
20260904 011906.242 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() start -----------------
20260904 011906.242 INFO             PET0     esm: InitializeP0 extro {IS}:State object is invalid! Not created or deleted!
20260904 011906.242 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() end -------------------
20260904 011906.242 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() start -----------------
20260904 011906.242 INFO             PET0     esm: InitializeP0 extro {ES}:State object is invalid! Not created or deleted!
20260904 011906.242 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() end -------------------
20260904 011906.242 INFO             PET0   esm: InitializeP0 extro.
20260904 011906.242 INFO             PET0   esm: InitializeIPDv02p1 intro.
20260904 011906.242 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() start -----------------
20260904 011906.242 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:State object is invalid! Not created or deleted!
20260904 011906.242 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() end -------------------
20260904 011906.242 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:--- StateLog() start -----------------
20260904 011906.243 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:State object is invalid! Not created or deleted!
20260904 011906.243 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:--- StateLog() end -------------------
20260904 011906.243 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260904 011906.325 INFO             PET0     esm - Creating state: modelComp 1 Import State
20260904 011906.325 INFO             PET0     esm - Creating state: modelComp 1 Export State
20260904 011906.325 INFO             PET0     esm - Creating state: modelComp 2 Import State
20260904 011906.325 INFO             PET0     esm - Creating state: modelComp 2 Export State
20260904 011906.327 INFO             PET0     ATM: InitializeP0 intro.
20260904 011906.328 INFO             PET0     ATM: InitializeP0 extro.
20260904 011906.328 INFO             PET0     OCN: InitializeP0 intro.
20260904 011906.329 INFO             PET0     OCN: InitializeP0 extro.
20260904 011906.402 INFO             PET0     esm: IInitAdvertise intro.
20260904 011906.402 INFO             PET0     esm: IInitAdvertise extro.
20260904 011906.402 INFO             PET0     ATM: InitializeIPDvXp01 intro.
20260904 011906.406 INFO             PET0     ATM: InitializeIPDvXp01 extro.
20260904 011906.406 INFO             PET0     OCN: InitializeIPDvXp01 intro.
20260904 011906.408 INFO             PET0     OCN: InitializeIPDvXp01 extro.
20260904 011906.410 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p1 intro.
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:--- StateLog() start -----------------
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:<name: ATM-ExportState> <intent: ESMF_STATEINTENT_EXPORT> <itemCount:    2>
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:+-<item: 0001> <itemType: Field> <itemName: pmsl>
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:!--- FieldLog() start -----------------
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:! <name: pmsl> <fieldStatus: ESMF_FIELDSTATUS_EMPTY>
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:! 0x7fff410f4f88 => 0x5586b6ebaaf0 => 0x5586b6ebad30
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:!--- FieldLog() end -------------------
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:+-<item: 0002> <itemType: Field> <itemName: rsns>
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:!--- FieldLog() start -----------------
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:! <name: rsns> <fieldStatus: ESMF_FIELDSTATUS_EMPTY>
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:! 0x7fff410f4f88 => 0x5586b6ecaba0 => 0x5586b6ecade0
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:!--- FieldLog() end -------------------
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:--- StateLog() end -------------------
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:--- StateLog() start -----------------
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:<name: OCN-ImportState> <intent: ESMF_STATEINTENT_IMPORT> <itemCount:    2>
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:+-<item: 0001> <itemType: Field> <itemName: pmsl>
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:!--- FieldLog() start -----------------
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:! <name: pmsl> <fieldStatus: ESMF_FIELDSTATUS_EMPTY>
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:! 0x7fff410f4ee8 => 0x5586b6ecceb0 => 0x5586b6ecd0f0
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:!--- FieldLog() end -------------------
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:+-<item: 0002> <itemType: Field> <itemName: rsns>
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:!--- FieldLog() start -----------------
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:! <name: rsns> <fieldStatus: ESMF_FIELDSTATUS_EMPTY>
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:! 0x7fff410f4ee8 => 0x5586b6ecef70 => 0x5586b6ecf1b0
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:!--- FieldLog() end -------------------
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:--- StateLog() end -------------------
20260904 011906.410 INFO             PET0       ATM-TO-OCN: importState FieldTransferPolicy = transferNone
20260904 011906.410 INFO             PET0       ATM-TO-OCN: exportState FieldTransferPolicy = transferNone
20260904 011906.410 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:--- StateLog() start -----------------
