2024-10-08 22:36:28
20241008 234642.923 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20241008 234642.923 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20241008 234642.923 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20241008 234642.923 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20241008 234642.924 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20241008 234642.924 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20241008 234642.924 INFO             PET0 Running with ESMF Version   : v8.8.0b00-12-g0d4b825343
20241008 234642.924 INFO             PET0 ESMF library build date/time: "Oct  8 2024" "22:33:14"
20241008 234642.924 INFO             PET0 ESMF library build location : /discover/nobackup/projects/gmao/SIteam/ESMF_Testing/nag_7.2.15_openmpi_g_develop/esmf
20241008 234642.924 INFO             PET0 ESMF_COMM                   : openmpi
20241008 234642.924 INFO             PET0 ESMF_MOAB                   : enabled
20241008 234642.924 INFO             PET0 ESMF_LAPACK                 : enabled
20241008 234642.924 INFO             PET0 ESMF_NETCDF                 : disabled
20241008 234642.924 INFO             PET0 ESMF_PNETCDF                : disabled
20241008 234642.924 INFO             PET0 ESMF_PIO                    : disabled
20241008 234642.924 INFO             PET0 ESMF_YAMLCPP                : enabled
20241008 234642.925 INFO             PET0 esmApp STARTING
20241008 234642.933 INFO             PET0 esm: InitializeGeneric intro.
20241008 234642.933 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20241008 234642.933 INFO             PET0   esm: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20241008 234642.933 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20241008 234642.933 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20241008 234642.933 INFO             PET0   esm: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
20241008 234642.933 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() end -------------------
20241008 234642.934 INFO             PET0   esm: InitializeP0 intro.
20241008 234642.934 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() start -----------------
20241008 234642.934 INFO             PET0     esm: InitializeP0 intro {IS}:State object is invalid! Not created or deleted!
20241008 234642.934 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() end -------------------
20241008 234642.934 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() start -----------------
20241008 234642.934 INFO             PET0     esm: InitializeP0 intro {ES}:State object is invalid! Not created or deleted!
20241008 234642.934 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() end -------------------
20241008 234642.934 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() start -----------------
20241008 234642.934 INFO             PET0     esm: InitializeP0 extro {IS}:State object is invalid! Not created or deleted!
20241008 234642.934 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() end -------------------
20241008 234642.934 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() start -----------------
